iter	Passed	Remaining
0	135	135176
1	138	69047
2	141	47015
3	144	35967
4	148	29578
5	152	25217
6	156	22188
7	160	19895
8	165	18274
9	170	16858
10	177	15930
11	181	14949
12	189	14359
13	194	13693
14	199	13120
15	205	12626
16	208	12084
17	215	11753
18	218	11302
19	226	11098
20	232	10825
21	241	10749
22	246	10450
23	253	10325
24	260	10163225	266	9999226	273	9839227	280	9725
28	285	9565
29	292	9446
30	298	9315
31	305	9231
32	311	9133
33	315	8977
34	320	8829
35	323	8666
36	325	8481
37	331	8390
38	336	8296
39	340	8160
40	345	8075
41	353	8059
42	357	7962
43	361	7855
44	365	7754
45	369	7673
46	374	7603
47	379	7524
48	383	7438
49	385	7317
50	389	7239
51	392	7154
52	396	7084553	400	7024
54	405	6966
55	408	6890556	412	6828557	416	6771558	420	670159	419	6564
60	422	6507
61	427	6464
62	431	6423
63	435	6372
64	439	6322
65	442	6268
66	448	6249
67	452	6198
68	457	6166
69	462	6143
70	466	6104
71	471	6082
72	474	6028
73	479	5995
74	482	5956
75	486	5915
76	490	5874
77	493	5836
78	498	5816
79	503	5785
80	505	5737
81	509	5703
82	513	5673
83	516	5632
84	520	5604
85	525	5580
86	530	5568
87	534	5539
88	538	5516
89	543	5498
90	548	5479
91	554	5476
92	559	5455
93	563	5429
94	568	5415
95	571	5384
96	577	5372
97	580	5346
98	583	5312
99	588	5295
100	592	5270
101	596	5249
102	600	5233
103	603	5202
104	608	5189
105	612	5167
106	616	5144
107	620	5121
108	624	5107
109	630	5101
110	636	5097
111	640	5079
112	646	5076
113	653	5079
114	658	5065
115	661	5044
116	667	5038
117	675	5047
118	679	5028
119	682	5006
120	687	4994
121	692	4986
122	697	4971
123	701	4958
1124	730	5116125125	735	50126	719	4948
1127	749	51041128	757	51121129	761	50971130	751	49861131	756	4975113132	783	5108
133	787	5091
134	793	5086
135	800	5088
136	810	5102
137	813	5082
138	817	5061
139	820	5040
140	826	5032
141	830	5018
142	835	5004
143	839	4990
144	846	4989
145	848	4964
146	852	4947
147	857	4933
148	860	4912
149	864	4898
150	868	4884
151	873	4870
152	874	4841
153	878	4824
154	881	4808
155	885	4788
156	888	47715157	892	47515158	898	4751
159	903	4741
160	908	4734
161	912	4719
162	917	4709
163	921	4698
164	925	4684
165	931	4678
166	935	4666
167	939	4654
168	943	4641
169	947	4627
170	951	4615
171	956	4602
172	961	4597
173	965	4581
174	969	4570
175	974	4564
176	978	4551
177	983	4542
178	988	4533
179	991	4518
180	996	4508
181	1001	4500
182	1004	4484
183	1008	4474
184	1012	4460
185	1016	4449
186	1020	4436
187	1024	44188188	1030	4420
189	1033	44190190	1038	4397
191	1042	4385
192	1049	4388
193	1052	4374
194	1057	4364
195	1061	4355
196	1065	4343
197	1069	43198198	1074	43199199	1078	43200200	1082	43201201	1086	42202202	1091	42203203	1097	4282
204	1101	4270
205	1105	4259
206	1111	4257
207	1115	4246
208	1119	4235
209	1123	4226
210	1127	4215
211	1130	4202
212	1135	4195
213	1140	4188
214	1144	4180
215	1149	4171
216	1153	4161
217	1157	4153
218	1161	4141
219	1164	4128
220	1168	4119
221	1172	4108
222	1176	4098
223	1179	4087
224	1183	4074
225	1187	40226226	1191	40227227	1194	40228228	1197	40229	1205	4035
230	1209	4026
231	1213	4016
232	1217	4008
233	1221	3998
234	1225	3990
235	1230	3983
236236	1233	39237237	1238	39238238	1242	39239239	1247	39240240	1251	39241241	1255	39242242	1259	39243243	1263	39244244	1267	39245245	1271	38246246	1276	38247247	1279	38248	1286	3880
249	1290	3871
250250	1293	38251251	1299	38252252	1305	38253253	1310	38254254	1315	38255255	1325	38256256	1331	38257257	1336	38258	1344	3847
259259	1354	38260260	1361	38261	1368	3855
262	1379	3865
263	1388	3870
264	1394	3867
265	1401	3866
266	1408	3866
267	1414	3863
268	1420	3860
269	1428	3863
270	1436	3864
271	1441	3857
272	1447	3854
273	1451	3846
274	1455	3836
275	1459	3829
276	1464	3821
277	1468	3813
278	1472	3805
279	1476	3797
280	1481	3790
281	1486	3785
282	1492	3780
283	1496	3772
284	1500	3763
285	1505	3757
286	1510	3753
287	1515	3745
288	1521	3744
289	1524	3732
290	1528	3724
291	1533	3718
292	1536	3708
293	1540	3699
294	1544	3690
295	1549	3684
296	1552	3675
297	1555	3665
298	1560	3657
299	1563	3648
300	1567	3640
301	1571	3631
302	1575	3623
303	1578	3614
304	1582	3606
305	1586	3597
306	1590	3591
307	1595	3584
308	1600	3578
309	1604	3571
310	1608	3563
311	1612	3556
312	1616	3547
313	1619	3538
314	1624	3532
315	1629	3526
316	1634	3520
317317	1634	35318318	1639	34319319	1643	34320320	1646	34321321	1651	34322	1659	3478
323323	1660	34324324	1665	34325325	1670	34326326	1674	34327327	1677	34328328	1682	34329329	1687	34330330	1692	34331331	1697	34332	1705	3415
333	1709	3408
334	1714	3402
335	1718	3395
336	1722	3389
337	1727	3382
338	1730	3374
339	1734	3367
340	1738	3360
341	1743	3353
342	1747	3346
343	1751	3340
344	1755	3331
345	1759	3325
346	1763	3319
347	1767	3311
348	1770	3302
349349	1770	32350350	1774	32351351	1777	32352352	1781	32353	1790	3267
354	1795	3263
355	1799	3254
356	1805	3251
357	1809	3245
358	1814	3239
359	1820	3236
360	1824	3229
361	1830	3225
362	1834	3219
363	1838	3212
364	1842	3206
365	1847	3199
366	1851	3192
367	1854	3184
368	1859	3180
369	1865	3176
370	1872	3174
371	1876	3168
372	1880	3161
373	1884	3154
374	1887	3145
375	1891	3139
376	1896	3134
377	1900	3127
378	1904	3121
379	1909	3114
380	1913	3108
381	1917	3101
382	1921	3095
383	1925	3089
384	1930	3083
385	1933	3076
386	1938	3071
387	1943	3065
388	1947	3059
389	1952	3054
390	1957	3048
391	1961	3042
392	1966	3037
393	1971	3031
394	1976	3026
395	1980	3020
396	1983	3013
397	1989	3009
398	1994	3004
399	2000	3000
400	2006	2997
401	2015	2998
402	2024	2999
403	2031	2996
404	2040	2997
405	2050	2999
406	2061	3003
407	2074	3010
408	2081	3007
409	2092	3010
410	2104	3015
411	2115	3018
412	2132	3031
413	2143	3033
414	2157	3041
415	2166	3041
416	2173	3038
417	2179	3034
418	2184	3028
419	2188	3022
420	2193	3016
421	2200	3013
422	2204	3007
423	2208	3000
424	2212	2993
425	2216	2986
426	2220	2979
427	2224	2973
428	2227	2965
429	2232	2959
430	2236	2952
431	2239	2944
432	2243	2938
433	2248	2932
434	2251	2924
435	2256	2918
436	2259	2911
437	2264	2905
438	2268	2899
439	2273	2894
440	2277	2887
441	2282	2881
442	2288	2877
443	2294	2873
444	2298	2866
445	2304	2861
446	2308	2856
447	2313	2850
448	2317	2843
449	2321	2836
450	2324	2829
451	2328	2823
452	2332	2816
453	2337	2810
454	2340	2803
455	2345	2798
456	2349	2791
457	2352	2783
458	2355	2776
459	2358	2768
460	2364	2765
461	2370	2760
462	2373	2753
463	2378	2747
464	2383	2741
465	2387	2735
466	2392	2730
467	2396	2724
468	2400	2718
469	2405	2712
470	2409	2705
471	2413	2699
472	2417	2693
473	2422	2687
474	2425	2680
475	2429	2674
476	2433	2668
477	2438	2662
478	2442	2656
479	2446	2649
480	2450	2644
481	2455	2639
482	2460	2633
483	2464	2627
484	2468	2621
485	2472	2614
486	2475	2608
487	2480	2602
488	2483	2595
489	2488	2589
490	2492	2583
491	2495	2576
492	2499	2570
493	2503	2563
494	2507	2558
495	2511	2551
